,AcidRed871_0gL,L-Cysteine-100gL,MethyleneB_250mgL,NaCl-3M,NaOH-1M,P10-MIX1,PVP-1wt,RhodamineB1_0gL,SDS-1wt,Sodiumsilicate-1wt,Target
176,0.0,1.9963210999999998,0.0,0.0,0.9711296999999999,4.81,0.25645602,0.0,0.0,0.98658717,9.345387171058775
177,0.0,0.73596984,0.0,0.50207055,0.0,2.6,0.21542310000000003,0.0,0.0,2.2621746,4.787700499132673
178,0.0,2.226311,0.0,0.0,0.0,3.4,0.0,0.0,0.0,2.2621756,10.134260377174895
179,0.0,1.517939,0.0,0.0,0.47054896,4.915,0.22568157,0.0,0.0,2.461486,9.88861298777216
180,0.0,1.2419506,0.0,0.0,0.4905708,4.66,0.0,0.0,0.0,2.7504863999999998,14.548145480801006
181,0.0,1.72953,0.0,0.0,0.0,3.425,0.0,0.0,0.0,2.7504863999999998,11.369728643307464
182,0.0,1.2419506,0.0,0.0,0.0,1.995,0.0,0.0,0.0,3.2288313,10.215747584787279
183,0.0,1.4811413,0.0,0.26000059999999997,0.4905708,3.77,0.0,0.0,0.0,2.2422442000000005,14.234870998917275
184,0.0,1.5363386,0.0,0.0,0.74086213,3.755,0.5026536,0.0,0.0,1.4748988,8.793620308447673
185,0.0,0.47837952,0.0,0.0,0.25029135,2.83,0.0,0.0,0.0,3.7470392999999995,10.530262972791173
186,0.0,0.49677920000000003,0.0,0.0,0.0,5.005,0.0,0.0,0.0,0.0,3.379959981200412
187,0.0,0.48758113,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,3.0359876959599923
188,0.0,1.4995409,0.0,0.0,0.4905708,5.035,0.0,0.0,0.0,2.501348,11.5424367123266
189,0.0,1.2419506,0.0,0.0,0.47054705,4.81,0.0,0.0,0.0,2.4814177,12.8665546395039
190,0.0,1.5363386,0.0,0.0,0.47054896,4.99,0.0,0.0,0.0,2.2621756,13.000766797832863
191,0.0,1.2419506,0.0,0.0,0.4905708,4.85,0.0,0.0,0.0,2.7405207000000003,13.023939129136526
192,0.0,1.2419506,0.0,0.0,0.4905708,4.595,0.0,0.0,0.0,2.4814167,12.987870353875966
193,0.0,1.4995393,0.0,0.0,0.4905708,5.03,0.24619755,0.0,0.0,2.2322783,8.929775115188326
194,0.0,2.2355099,0.0,0.0,0.74086213,4.98,0.0,0.0,0.0,1.4948294,14.252756517680117
195,0.0,1.4995409,0.0,0.5110363,0.0,3.16,0.0,0.0,0.0,0.48831072,7.274715282943943
196,0.0,0.7451696999999999,0.0,0.0,0.0,2.795,0.0,0.0,0.0,3.7370737000000003,10.384739996518313
197,0.0,0.98436207,0.0,0.25103486,0.74086213,2.115,0.24619853,0.0,0.0,1.5247258,5.410865978530438
198,0.0,1.9871203999999998,0.0,0.2510357,0.0,3.63,0.0,0.0,0.0,2.2322783,11.85438109997324
199,0.0,1.7203319,0.0,0.0,0.75087404,5.065,0.0,0.0,0.0,2.0230021000000002,15.307411486268926
200,0.0,0.2299908,0.0,0.0,0.0,3.21,0.0,0.0,0.0,4.235348999999999,7.0020380909274005
201,0.0,0.7451696999999999,0.0,0.0,0.0,2.205,0.0,0.0,0.0,3.7370737000000003,10.418445983816554
202,0.0,0.49678096,0.0,0.0,0.0,4.995,0.0,0.0,0.0,0.0,3.2001394600590576
203,0.0,0.48758113,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,3.0284784056425047
204,0.0,1.4811413,0.0,0.0,0.48055893,4.8,0.0,0.0,0.0,1.9831401000000002,12.067495206974678
205,0.0,1.4811413,0.0,0.0,0.5005827,4.545,0.0,0.0,0.0,1.9931058999999998,12.835308978978247
206,0.0,1.7295308999999996,0.0,0.24206996,0.7308503000000001,1.755,0.0,0.0,0.0,0.7474147,8.564358549543575
207,0.0,1.7571304,0.0,0.0,0.72083837,4.955,0.27697298,0.0,0.0,1.9731743000000002,8.753400871257089
208,0.0,1.4995401000000002,0.0,0.0,1.4817243,3.19,0.0,0.0,0.0,1.4649332,13.481995690085167
209,0.0,1.7479306000000001,0.0,0.0,0.7108265,4.82,0.0,0.0,0.0,1.9931058999999998,14.758243432462692
210,0.0,1.4995393,0.0,0.0,0.0,4.215,0.0,0.0,0.0,2.7305547999999997,11.192505845583025
211,0.0,1.7571294999999998,0.0,0.26896632,0.24027947,4.21,0.0,0.0,0.0,0.24913824,10.818235235911141
212,0.0,1.7479296999999998,0.0,0.0,0.0,4.36,0.0,0.0,0.0,2.4913824,10.829056867369745
213,0.0,0.47837952,0.0,0.0,0.0,5.055,0.0,0.0,0.0,4.225385,11.653276643635586
214,0.0,2.5023,0.0,0.0,0.0,4.635,0.0,0.0,0.0,2.2223136,11.21987341058966
215,0.0,0.98436034,0.0,0.0,0.9711296999999999,2.14,0.23594005,0.0,0.0,0.98658717,6.030225589685111
216,0.0,1.9871212,0.0,0.0,0.0,4.65,0.0,0.0,0.0,2.4714508,11.58061917075288
217,0.0,2.014719,0.0,0.24206910000000004,0.7608859,5.015,0.0,0.0,0.0,1.7439677,16.86850214419442
218,0.0,0.48757938,0.0,0.0,0.0,5.025,0.0,0.0,0.0,0.0,3.5048158517480754
219,0.0,0.49678096,0.0,0.0,0.0,4.97,0.0,0.0,0.0,0.0,3.0349469226030608
220,0.0,0.97516227,0.0,0.0,0.0,4.19,0.0,0.0,0.0,3.497901,9.879281778912818
221,0.0,1.4903393999999999,0.0,0.0,0.48056084,4.215,0.0,0.0,0.0,1.9931058999999998,11.715216784789405
222,0.0,1.50874,0.0,0.0,0.74086213,4.375,0.0,0.0,0.0,2.2322783,13.541461504323996
223,0.0,2.2447097,0.0,0.0,0.22025569,1.78,0.0,0.0,0.0,1.9831401000000002,7.6898229821452
224,0.0,1.7479296999999998,0.0,0.0,0.72083837,4.38,0.0,0.0,0.0,2.2422442000000005,13.595686578489985
225,0.0,1.2695484,0.0,0.24206910000000004,0.0,3.63,0.0,0.0,0.0,3.2587285,11.638061381145347
226,0.0,2.9898813,0.0,0.0,0.0,4.475,0.0,0.0,0.0,1.4848636,8.882527063855486
